,symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price
0,3,0.0,alfa-romero,gas,std,two,convertible,rwd,front,-1.69,-0.43,-0.84,-2.02,-0.01,dohc,four,0.07,mpfi,0.52,-1.84,-0.29,0.17,-0.26,-0.65,-0.55,0.04
1,3,0.0,alfa-romero,gas,std,two,convertible,rwd,front,-1.69,-0.43,-0.84,-2.02,-0.01,dohc,four,0.07,mpfi,0.52,-1.84,-0.29,0.17,-0.26,-0.65,-0.55,0.42
2,1,0.0,alfa-romero,gas,std,two,hatchback,rwd,front,-0.71,-0.23,-0.19,-0.54,0.51,ohcv,six,0.6,mpfi,-2.4,0.69,-0.29,1.26,-0.26,-0.95,-0.69,0.42
3,2,1.33,audi,gas,std,four,sedan,fwd,front,0.17,0.21,0.14,0.24,-0.42,ohc,four,-0.43,mpfi,-0.52,0.46,-0.04,-0.06,0.79,-0.19,-0.11,0.09
4,2,1.33,audi,gas,std,four,sedan,4wd,front,0.11,0.21,0.23,0.24,0.52,ohc,five,0.22,mpfi,-0.52,0.46,-0.54,0.27,0.79,-1.11,-1.27,0.54
5,2,0.0,audi,gas,std,two,sedan,fwd,front,0.17,0.26,0.18,-0.26,-0.09,ohc,five,0.22,mpfi,-0.52,0.46,-0.41,0.15,0.79,-0.95,-0.84,0.26
6,1,1.14,audi,gas,std,four,sedan,fwd,front,1.17,1.52,2.57,0.81,0.56,ohc,five,0.22,mpfi,-0.52,0.46,-0.41,0.15,0.79,-0.95,-0.84,0.57
7,1,0.0,audi,gas,std,four,wagon,fwd,front,1.17,1.52,2.57,0.81,0.77,ohc,five,0.22,mpfi,-0.52,0.46,-0.41,0.15,0.79,-0.95,-0.84,0.73
8,1,1.14,audi,gas,turbo,four,sedan,fwd,front,1.17,1.52,2.57,0.89,1.02,ohc,five,0.1,mpfi,-0.74,0.46,-0.47,0.91,0.79,-1.26,-1.57,1.36
9,0,0.0,audi,gas,turbo,two,hatchback,4wd,front,0.12,0.34,0.93,-0.71,0.96,ohc,five,0.1,mpfi,-0.74,0.46,-0.79,1.41,0.79,-1.41,-1.27,0.0
10,2,2.21,bmw,gas,std,two,sedan,rwd,front,0.41,0.22,-0.52,0.24,-0.31,ohc,four,-0.46,mpfi,0.63,-1.46,-0.34,-0.08,1.42,-0.34,-0.25,0.41
11,0,2.21,bmw,gas,std,four,sedan,rwd,front,0.41,0.22,-0.52,0.24,-0.31,ohc,four,-0.46,mpfi,0.63,-1.46,-0.34,-0.08,1.42,-0.34,-0.25,0.47
12,0,2.09,bmw,gas,std,two,sedan,rwd,front,0.41,0.22,-0.52,0.24,0.3,ohc,six,0.89,mpfi,-0.07,-0.21,-0.29,0.42,-1.84,-0.65,-0.4,0.99
13,0,2.09,bmw,gas,std,four,sedan,rwd,front,0.41,0.22,-0.52,0.24,0.4,ohc,six,0.89,mpfi,-0.07,-0.21,-0.29,0.42,-1.84,-0.65,-0.4,1.01
14,1,0.0,bmw,gas,std,four,sedan,rwd,front,0.79,1.21,0.46,0.81,0.96,ohc,six,0.89,mpfi,-0.07,-0.21,-0.29,0.42,-1.84,-0.8,-0.84,1.45
15,0,0.0,bmw,gas,std,four,sedan,rwd,front,0.79,1.21,0.46,0.81,1.3,ohc,six,1.98,mpfi,1.07,0.43,-0.54,1.97,0.58,-1.41,-1.27,2.24
16,0,0.0,bmw,gas,std,two,sedan,rwd,front,0.79,1.6,0.93,-0.01,1.59,ohc,six,1.98,mpfi,1.07,0.43,-0.54,1.97,0.58,-1.41,-1.27,3.58
17,0,0.0,bmw,gas,std,four,sedan,rwd,front,1.87,1.86,2.33,1.06,1.83,ohc,six,1.98,mpfi,1.07,0.43,-0.54,1.97,0.58,-1.57,-1.57,3.02
18,2,-0.03,chevrolet,gas,std,two,hatchback,fwd,front,-1.72,-2.68,-2.62,-0.22,-2.06,l,three,-1.59,2bbl,-1.55,-0.72,-0.16,-1.43,-0.05,3.34,3.24,-1.03
19,1,-0.76,chevrolet,gas,std,two,hatchback,fwd,front,-0.71,-1.47,-1.08,-0.71,-1.31,ohc,four,-0.89,2bbl,-1.11,-0.47,-0.14,-0.87,0.58,1.96,1.78,-0.88
20,0,-1.3,chevrolet,gas,std,four,sedan,fwd,front,-0.71,-1.24,-1.08,-0.71,-1.24,ohc,four,-0.89,2bbl,-1.11,-0.47,-0.14,-0.87,0.58,1.96,1.78,-0.84
21,1,-0.13,dodge,gas,std,two,hatchback,fwd,front,-0.84,-1.36,-0.98,-1.2,-1.31,ohc,four,-0.89,2bbl,-1.33,-0.08,-0.18,-0.92,0.79,1.81,1.49,-0.97
22,1,-0.13,dodge,gas,std,two,hatchback,fwd,front,-0.84,-1.36,-0.98,-1.2,-1.31,ohc,four,-0.89,2bbl,-1.33,-0.08,-0.19,-0.92,0.79,0.89,1.06,-0.87
23,1,-0.13,dodge,gas,turbo,two,hatchback,fwd,front,-0.84,-1.36,-0.98,-1.2,-0.82,ohc,four,-0.7,mpfi,-1.11,0.43,-0.64,-0.06,0.79,-0.19,-0.11,-0.67
24,1,0.82,dodge,gas,std,four,hatchback,fwd,front,-0.84,-1.36,-0.98,-1.28,-1.13,ohc,four,-0.89,2bbl,-1.33,-0.08,-0.19,-0.92,0.79,0.89,1.06,-0.89
25,1,0.82,dodge,gas,std,four,sedan,fwd,front,-0.84,-1.36,-0.98,-1.28,-1.09,ohc,four,-0.89,2bbl,-1.33,-0.08,-0.19,-0.92,0.79,0.89,1.06,-0.83
26,1,0.82,dodge,gas,std,four,sedan,fwd,front,-0.84,-1.36,-0.98,-1.28,-1.09,ohc,four,-0.89,2bbl,-1.33,-0.08,-0.19,-0.92,0.79,0.89,1.06,-0.71
27,1,0.82,dodge,gas,turbo,four,sedan,fwd,front,-0.84,-1.36,-0.98,-1.28,-0.7,ohc,four,-0.7,mpfi,-1.11,0.43,-0.64,-0.06,0.79,-0.19,-0.11,-0.59
28,-1,-0.38,dodge,gas,std,four,wagon,fwd,front,0.76,0.04,-0.61,2.49,-0.04,ohc,four,-0.12,2bbl,0.04,0.65,-0.41,-0.41,-0.26,-0.19,-0.11,-0.55
29,3,0.73,dodge,gas,turbo,two,hatchback,fwd,front,-0.48,-0.07,0.18,-1.45,0.49,ohc,four,0.7,mfi,1.0,2.06,-0.79,1.03,-0.26,-0.95,-0.98,-0.03
30,2,0.47,honda,gas,std,two,hatchback,fwd,front,-2.02,-2.39,-0.94,-1.2,-1.62,ohc,four,-0.84,1bbl,-1.55,0.49,-0.14,-1.17,-0.68,3.64,3.38,-0.86
31,2,0.47,honda,gas,std,two,hatchback,fwd,front,-2.02,-2.39,-0.94,-1.2,-1.42,ohc,four,-0.84,1bbl,-1.55,0.49,-0.24,-0.72,1.84,0.89,1.06,-0.81
32,1,-0.66,honda,gas,std,two,hatchback,fwd,front,-0.84,-1.95,-0.89,-0.46,-1.38,ohc,four,-1.15,1bbl,-1.55,-0.59,-0.01,-1.12,0.79,1.96,1.64,-0.99
33,1,-0.66,honda,gas,std,two,hatchback,fwd,front,-0.84,-1.95,-0.89,-0.46,-1.19,ohc,four,-0.84,1bbl,-1.55,0.49,-0.24,-0.72,1.84,0.73,0.47,-0.85
34,1,-0.66,honda,gas,std,two,hatchback,fwd,front,-0.84,-1.95,-0.89,-0.46,-1.15,ohc,four,-0.84,1bbl,-1.55,0.49,-0.24,-0.72,1.84,0.73,0.47,-0.77
35,0,-0.38,honda,gas,std,four,sedan,fwd,front,-0.38,-0.87,-0.89,0.32,-1.05,ohc,four,-0.84,1bbl,-1.55,0.49,-0.24,-0.72,1.84,0.73,0.47,-0.75
36,0,-1.39,honda,gas,std,four,wagon,fwd,front,-0.38,-1.38,-0.94,1.88,-1.02,ohc,four,-0.84,1bbl,-1.52,0.49,-0.24,-0.72,1.84,0.73,0.47,-0.75
37,0,-0.51,honda,gas,std,two,hatchback,fwd,front,-0.38,-0.53,-0.33,-0.17,-0.62,ohc,four,-0.41,1bbl,-0.67,1.04,-0.29,-0.46,1.42,0.27,0.33,-0.68
38,0,-0.51,honda,gas,std,two,hatchback,fwd,front,-0.38,-0.53,-0.33,-0.17,-0.51,ohc,four,-0.41,1bbl,-0.67,1.04,-0.29,-0.46,1.42,0.27,0.33,-0.52
39,0,-1.17,honda,gas,std,four,sedan,fwd,front,-0.38,0.11,-0.33,0.15,-0.48,ohc,four,-0.41,1bbl,-0.67,1.04,-0.29,-0.46,1.42,0.27,0.33,-0.56
40,0,-1.17,honda,gas,std,four,sedan,fwd,front,-0.38,0.11,-1.59,0.15,-0.35,ohc,four,-0.41,1bbl,-0.67,1.04,-0.29,-0.46,1.42,0.27,0.33,-0.37
41,0,-1.17,honda,gas,std,four,sedan,fwd,front,-0.38,0.11,-0.33,0.15,-0.17,ohc,four,-0.41,mpfi,-0.67,1.04,-0.29,-0.08,1.42,-0.19,-0.4,-0.03
42,1,-0.47,honda,gas,std,two,sedan,fwd,front,-0.38,-0.4,0.04,-1.12,-0.51,ohc,four,-0.41,2bbl,-0.67,1.04,-0.26,-0.11,0.79,-0.03,0.04,-0.36
43,0,0.0,isuzu,gas,std,four,sedan,rwd,front,-0.74,-0.27,-1.92,-0.09,-0.42,ohc,four,-0.38,2bbl,-0.07,-0.08,-0.41,-0.67,-0.68,-0.19,-0.25,-0.82
44,1,0.0,isuzu,gas,std,two,sedan,fwd,front,-0.71,-1.47,-1.08,-0.71,-1.31,ohc,four,-0.89,2bbl,-1.11,-0.47,-0.14,-0.87,0.58,1.96,1.78,0.0
45,0,0.0,isuzu,gas,std,four,sedan,fwd,front,-0.71,-1.47,-1.08,-0.71,-1.24,ohc,four,-0.89,2bbl,-1.11,-0.47,-0.14,-0.87,0.58,1.96,1.78,0.0
46,2,0.0,isuzu,gas,std,two,hatchback,rwd,front,-0.46,-0.12,-0.33,-0.95,0.34,ohc,four,-0.19,spfi,0.37,-0.08,-0.24,-0.36,-0.26,-0.19,-0.25,-0.28
47,0,0.73,jaguar,gas,std,four,sedan,rwd,front,2.37,2.08,1.73,-0.38,2.91,dohc,six,3.16,mpfi,1.11,2.92,-0.52,1.82,-0.79,-1.57,-1.71,2.43
48,0,0.0,jaguar,gas,std,four,sedan,rwd,front,2.37,2.08,1.73,-0.38,2.91,dohc,six,3.16,mpfi,1.11,2.92,-0.52,1.82,-0.79,-1.57,-1.71,2.85
49,0,0.0,jaguar,gas,std,two,sedan,rwd,front,0.54,1.43,2.19,-2.43,2.68,ohcv,twelve,4.79,mpfi,0.78,-1.58,0.34,4.0,-0.26,-1.87,-2.0,2.9
50,1,-0.57,mazda,gas,std,two,hatchback,fwd,front,-0.94,-1.21,-0.8,0.15,-1.28,ohc,four,-0.86,2bbl,-1.11,-0.34,-0.29,-0.92,-0.26,0.73,0.04,-1.02
51,1,-0.57,mazda,gas,std,two,hatchback,fwd,front,-0.94,-1.21,-0.8,0.15,-1.26,ohc,four,-0.86,2bbl,-1.11,-0.34,-0.29,-0.92,-0.26,0.89,1.06,-0.91
52,1,-0.57,mazda,gas,std,two,hatchback,fwd,front,-0.94,-1.21,-0.8,0.15,-1.25,ohc,four,-0.86,2bbl,-1.11,-0.34,-0.29,-0.92,-0.26,0.89,1.06,-0.82
53,1,-0.28,mazda,gas,std,four,sedan,fwd,front,-0.94,-0.59,-0.8,0.15,-1.18,ohc,four,-0.86,2bbl,-1.11,-0.34,-0.29,-0.92,-0.26,0.89,1.06,-0.83
54,1,-0.28,mazda,gas,std,four,sedan,fwd,front,-0.94,-0.59,-0.8,0.15,-1.17,ohc,four,-0.86,2bbl,-0.92,-0.34,-0.29,-0.92,-0.26,0.89,1.06,-0.74
55,3,0.89,mazda,gas,std,two,hatchback,rwd,front,-0.58,-0.41,-0.1,-1.69,-0.34,rotor,two,-1.37,4bbl,0.0,0.01,-0.19,-0.08,1.84,-1.26,-1.13,-0.29
56,3,0.89,mazda,gas,std,two,hatchback,rwd,front,-0.58,-0.41,-0.1,-1.69,-0.34,rotor,two,-1.37,4bbl,0.0,0.01,-0.19,-0.08,1.84,-1.26,-1.13,-0.17
57,3,0.89,mazda,gas,std,two,hatchback,rwd,front,-0.58,-0.41,-0.1,-1.69,-0.33,rotor,two,-1.37,4bbl,0.0,0.01,-0.19,-0.08,1.84,-1.26,-1.13,0.06
58,3,0.89,mazda,gas,std,two,hatchback,rwd,front,-0.58,-0.41,-0.1,-1.69,-0.11,rotor,two,-1.13,mpfi,0.0,0.01,-0.19,0.78,1.84,-1.41,-1.13,0.31
59,1,0.22,mazda,gas,std,two,hatchback,fwd,front,0.01,0.3,0.28,-0.01,-0.33,ohc,four,-0.12,2bbl,0.22,0.43,-0.39,-0.51,-0.68,0.12,0.18,-0.56
60,0,-0.22,mazda,gas,std,four,sedan,fwd,front,0.01,0.3,0.28,0.73,-0.28,ohc,four,-0.12,2bbl,0.22,0.43,-0.39,-0.51,-0.68,0.12,0.18,-0.6
61,1,0.22,mazda,gas,std,two,hatchback,fwd,front,0.01,0.3,0.28,-0.01,-0.33,ohc,four,-0.12,2bbl,0.22,0.43,-0.39,-0.51,-0.68,0.12,0.18,-0.33
62,0,-0.22,mazda,gas,std,four,sedan,fwd,front,0.01,0.3,0.28,0.73,-0.28,ohc,four,-0.12,2bbl,0.22,0.43,-0.39,-0.51,-0.68,0.12,0.18,-0.38
63,0,0.0,mazda,diesel,std,four,sedan,fwd,front,0.01,0.3,0.28,0.73,-0.22,ohc,four,-0.12,idi,0.22,0.43,3.17,-1.02,-1.0,1.65,1.64,-0.31
64,0,-0.22,mazda,gas,std,four,hatchback,fwd,front,0.01,0.3,0.28,0.73,-0.25,ohc,four,-0.12,2bbl,0.22,0.43,-0.39,-0.51,-0.68,0.12,0.18,-0.25
65,0,-0.13,mazda,gas,std,four,sedan,rwd,front,1.02,0.08,0.09,0.28,0.22,ohc,four,0.32,mpfi,1.59,-0.31,-0.54,0.4,-0.26,-0.95,-0.55,0.65
66,0,0.0,mazda,diesel,std,four,sedan,rwd,front,1.02,0.08,0.09,0.28,0.28,ohc,four,0.17,idi,0.37,1.23,2.99,-0.82,-1.94,0.89,1.2,0.65
67,-1,-0.92,mercedes-benz,diesel,turbo,four,sedan,rwd,front,1.87,1.37,2.05,1.14,1.85,ohc,five,1.35,idi,0.93,1.23,2.87,0.48,-1.63,-0.49,-0.84,1.57
68,-1,-0.92,mercedes-benz,diesel,turbo,four,wagon,rwd,front,1.87,1.37,2.05,2.04,2.3,ohc,five,1.35,idi,0.93,1.23,2.87,0.48,-1.63,-0.49,-0.84,1.92
69,0,-0.92,mercedes-benz,diesel,turbo,two,hardtop,rwd,front,1.32,1.09,2.05,0.48,1.81,ohc,five,1.35,idi,0.93,1.23,2.87,0.48,-1.63,-0.49,-0.84,1.91
70,-1,-0.92,mercedes-benz,diesel,turbo,four,sedan,rwd,front,2.8,2.32,2.71,1.06,2.34,ohc,five,1.35,idi,0.93,1.23,2.87,0.48,-1.63,-0.49,-0.84,2.34
71,-1,0.0,mercedes-benz,gas,std,four,sedan,rwd,front,2.8,2.32,2.71,1.14,2.28,ohcv,eight,2.58,mpfi,0.48,-0.5,-0.47,1.29,-0.79,-1.41,-1.86,2.67
72,3,0.63,mercedes-benz,gas,std,two,convertible,rwd,front,-0.36,0.51,2.15,-1.2,2.17,ohcv,eight,2.58,mpfi,0.48,-0.5,-0.47,1.29,-0.79,-1.41,-1.86,2.78
73,0,0.0,mercedes-benz,gas,std,four,sedan,rwd,front,3.69,2.77,2.71,1.22,2.59,ohcv,eight,4.36,mpfi,1.74,0.3,-0.54,2.02,-1.31,-1.72,-2.15,3.54
74,1,0.0,mercedes-benz,gas,std,two,hardtop,rwd,front,2.2,2.04,2.85,0.69,2.23,ohcv,eight,4.26,mpfi,1.74,0.3,-0.54,2.02,-1.31,-1.72,-2.15,4.1
75,1,0.0,mercury,gas,turbo,two,hatchback,rwd,front,0.66,0.35,0.98,0.44,0.68,ohc,four,0.32,mpfi,1.67,-0.43,-0.54,1.79,-0.26,-0.95,-0.98,0.42
76,2,1.23,mitsubishi,gas,std,two,hatchback,fwd,front,-0.84,-1.36,-0.7,-1.2,-1.23,ohc,four,-0.84,2bbl,-1.33,-0.08,-0.19,-0.92,0.79,1.81,1.49,-1.0
77,2,1.23,mitsubishi,gas,std,two,hatchback,fwd,front,-0.84,-1.36,-0.7,-1.2,-1.18,ohc,four,-0.84,2bbl,-1.33,-0.08,-0.19,-0.92,0.79,0.89,1.06,-0.89
78,2,1.23,mitsubishi,gas,std,two,hatchback,fwd,front,-0.84,-1.36,-0.7,-1.2,-1.06,ohc,four,-0.84,2bbl,-1.33,-0.08,-0.19,-0.92,0.79,0.89,1.06,-0.83
79,1,1.23,mitsubishi,gas,turbo,two,hatchback,fwd,front,-0.96,-1.36,-0.98,-1.2,-0.79,ohc,four,-0.7,spdi,-1.11,0.43,-0.64,-0.06,0.79,-0.19,-0.11,-0.7
80,3,0.98,mitsubishi,gas,turbo,two,hatchback,fwd,front,-0.41,-0.09,-0.24,-1.77,-0.36,ohc,four,-0.41,spdi,-0.59,0.65,-0.67,0.3,0.79,-0.34,-0.11,-0.41
81,3,0.98,mitsubishi,gas,std,two,hatchback,fwd,front,-0.41,-0.09,-0.24,-1.77,-0.44,ohc,four,-0.12,2bbl,0.07,0.65,-0.41,-0.41,-0.26,-0.03,0.18,-0.6
82,3,0.0,mitsubishi,gas,turbo,two,hatchback,fwd,front,-0.48,-0.07,0.18,-1.45,0.53,ohc,four,0.7,spdi,0.93,1.93,-0.79,1.03,-0.26,-0.95,-0.98,-0.07
83,3,0.0,mitsubishi,gas,turbo,two,hatchback,fwd,front,-0.48,-0.07,0.18,-1.45,0.7,ohc,four,0.7,spdi,0.96,1.93,-0.79,1.03,-0.26,-0.95,-0.98,0.21
84,3,0.0,mitsubishi,gas,turbo,two,hatchback,fwd,front,-0.48,-0.07,0.18,-1.45,0.71,ohc,four,0.7,spdi,0.96,1.93,-0.79,1.03,-0.26,-0.95,-0.98,0.16
85,1,0.09,mitsubishi,gas,std,four,sedan,fwd,front,-0.41,-0.13,-0.24,-0.87,-0.37,ohc,four,-0.12,2bbl,0.07,0.65,-0.41,-0.41,-0.26,-0.03,0.18,-0.79
86,1,0.09,mitsubishi,gas,std,four,sedan,fwd,front,-0.41,-0.13,-0.24,-0.87,-0.29,ohc,four,-0.12,2bbl,0.07,0.65,-0.41,-0.41,-0.26,-0.03,0.18,-0.64
87,1,0.09,mitsubishi,gas,turbo,four,sedan,fwd,front,-0.41,-0.13,-0.24,-0.87,-0.29,ohc,four,-0.41,spdi,-0.59,0.65,-0.67,0.3,0.79,-0.34,-0.11,-0.5
88,-1,0.47,mitsubishi,gas,std,four,sedan,fwd,front,-0.41,-0.13,-0.24,-0.87,-0.29,ohc,four,-0.41,spdi,-0.59,0.65,-0.67,0.3,0.79,-0.34,-0.11,-0.5
89,1,0.19,nissan,gas,std,two,sedan,fwd,front,-0.71,-0.71,-0.98,0.32,-1.28,ohc,four,-0.72,2bbl,-0.67,0.11,-0.19,-0.89,0.16,0.89,0.91,-0.98
90,1,0.19,nissan,diesel,std,two,sedan,fwd,front,-0.71,-0.71,-0.98,0.32,-1.04,ohc,four,-0.58,idi,-1.26,0.69,2.97,-1.25,-0.68,3.03,2.8,-0.78
91,1,0.19,nissan,gas,std,two,sedan,fwd,front,-0.71,-0.71,-0.98,0.32,-1.23,ohc,four,-0.72,2bbl,-0.67,0.11,-0.19,-0.89,0.16,0.89,0.91,-0.84
92,1,0.0,nissan,gas,std,four,sedan,fwd,front,-0.71,-0.71,-0.98,0.32,-1.19,ohc,four,-0.72,2bbl,-0.67,0.11,-0.19,-0.89,0.16,0.89,0.91,-0.81
93,1,-0.6,nissan,gas,std,four,wagon,fwd,front,-0.71,-0.31,-0.98,-0.09,-1.02,ohc,four,-0.72,2bbl,-0.67,0.11,-0.19,-0.89,0.16,0.89,0.91,-0.75
94,1,0.19,nissan,gas,std,two,sedan,fwd,front,-0.71,-0.71,-0.98,0.32,-1.16,ohc,four,-0.72,2bbl,-0.67,0.11,-0.19,-0.89,0.16,0.89,0.91,-0.75
95,1,0.19,nissan,gas,std,two,hatchback,fwd,front,-0.71,-0.69,-0.98,-0.17,-1.02,ohc,four,-0.72,2bbl,-0.67,0.11,-0.19,-0.89,0.16,0.89,0.91,-0.69
96,1,0.0,nissan,gas,std,four,sedan,fwd,front,-0.71,-0.71,-0.98,0.32,-1.13,ohc,four,-0.72,2bbl,-0.67,0.11,-0.19,-0.89,0.16,0.89,0.91,-0.73
97,1,-0.6,nissan,gas,std,four,wagon,fwd,front,-0.71,-0.31,-0.98,-0.09,-1.0,ohc,four,-0.72,2bbl,-0.67,0.11,-0.19,-0.89,0.16,0.89,0.91,-0.66
98,2,1.46,nissan,gas,std,two,hardtop,fwd,front,-0.61,-0.95,-0.98,-0.17,-1.05,ohc,four,-0.72,2bbl,-0.67,0.11,-0.19,-0.89,0.16,0.89,0.91,-0.63
99,0,-0.51,nissan,gas,std,four,hatchback,fwd,front,-0.26,-0.05,-0.33,0.4,-0.45,ohc,four,-0.17,2bbl,0.0,0.69,-0.41,-0.18,0.16,0.27,0.47,-0.54
100,0,-0.51,nissan,gas,std,four,sedan,fwd,front,-0.26,-0.05,-0.33,0.4,-0.49,ohc,four,-0.17,2bbl,0.0,0.69,-0.41,-0.18,0.16,0.27,0.47,-0.47
